frameId,t,yaw,pitch,roll,isCalibrated
803,12.088107,0.081886,-0.057818,0.031938,1
804,12.103201,0.081405,-0.058476,0.032101,1
805,12.118205,0.081027,-0.059102,0.032211,1
806,12.133276,0.080814,-0.059579,0.032464,1
807,12.148164,0.080495,-0.059727,0.032900,1
808,12.163397,0.079917,-0.059403,0.033372,1
809,12.178427,0.079406,-0.058537,0.033618,1
810,12.193362,0.078979,-0.057405,0.033570,1
811,12.208423,0.078615,-0.056459,0.033404,1
812,12.223715,0.078113,-0.055925,0.033330,1
813,12.238541,0.077498,-0.055540,0.033470,1
814,12.253893,0.077023,-0.055126,0.033572,1
815,12.268633,0.076691,-0.054809,0.033472,1
816,12.283837,0.076590,-0.054916,0.033330,1
817,12.298732,0.076700,-0.055426,0.033438,1
818,12.313982,0.076366,-0.055809,0.033573,1
819,12.328841,0.075298,-0.055747,0.033135,1
820,12.344040,0.074312,-0.055227,0.032202,1
821,12.359025,0.074130,-0.054650,0.031276,1
822,12.373918,0.074472,-0.054453,0.030718,1
823,12.389050,0.074686,-0.054567,0.030667,1
824,12.404147,0.074588,-0.054720,0.030998,1
825,12.419060,0.074444,-0.054636,0.031561,1
826,12.434197,0.074539,-0.054376,0.032240,1
827,12.449121,0.075093,-0.054559,0.033153,1
828,12.464256,0.076186,-0.055573,0.034583,1
829,12.479220,0.077734,-0.057210,0.036490,1
830,12.494841,0.078983,-0.059101,0.038548,1
831,12.509365,0.079801,-0.060853,0.040281,1
832,12.524485,0.080607,-0.062043,0.041581,1
833,12.539525,0.081565,-0.062517,0.042457,1
834,12.554489,0.082776,-0.062239,0.043195,1
835,12.569494,0.083654,-0.061186,0.043979,1
836,12.584659,0.084372,-0.059570,0.044376,1
837,12.599784,0.085680,-0.057903,0.044415,1
838,12.614651,0.087539,-0.056620,0.044517,1
839,12.629774,0.089553,-0.055787,0.044767,1
840,12.644938,0.091185,-0.055094,0.045181,1
841,12.659760,0.092009,-0.054217,0.045710,1
842,12.674873,0.091687,-0.052972,0.045799,1
843,12.689962,0.091262,-0.051535,0.045341,1
844,12.705004,0.092105,-0.050478,0.044866,1
845,12.720015,0.094091,-0.050060,0.045036,1
846,12.735129,0.096380,-0.050218,0.045823,1
847,12.750099,0.098680,-0.050943,0.046515,1
848,12.765294,0.100632,-0.051987,0.046811,1
849,12.780259,0.101606,-0.052926,0.046606,1
850,12.795475,0.102537,-0.053274,0.046273,1
851,12.810297,0.104416,-0.052950,0.046381,1
852,12.825570,0.106932,-0.052224,0.046701,1
853,12.840505,0.109505,-0.051583,0.046721,1
854,12.855524,0.112391,-0.051161,0.046419,1
855,12.870449,0.115338,-0.051017,0.046066,1
856,12.885631,0.117970,-0.050851,0.045762,1
857,12.900652,0.120144,-0.050283,0.045068,1
858,12.915719,0.122235,-0.049431,0.044046,1
859,12.930659,0.124872,-0.048776,0.043365,1
860,12.945819,0.127754,-0.048705,0.043414,1
861,12.960809,0.130382,-0.049140,0.043959,1
862,12.975891,0.132678,-0.049581,0.044596,1
863,12.990929,0.134313,-0.049547,0.044897,1
864,13.006065,0.135148,-0.048573,0.044416,1
865,13.020889,0.136007,-0.046827,0.043617,1
866,13.036092,0.137685,-0.045147,0.043105,1
867,13.050988,0.139976,-0.044343,0.043102,1
868,13.066182,0.142385,-0.044669,0.043566,1
869,13.081154,0.144569,-0.045508,0.044286,1
870,13.096385,0.146232,-0.045863,0.044811,1
871,13.111249,0.147610,-0.045345,0.044755,1
872,13.126440,0.149170,-0.044127,0.044232,1
873,13.141378,0.150597,-0.042679,0.043534,1
874,13.156582,0.151230,-0.041583,0.042936,1
875,13.171504,0.151603,-0.041079,0.042666,1
876,13.186773,0.152425,-0.040973,0.042888,1
877,13.201572,0.153557,-0.040897,0.043567,1
878,13.216636,0.154593,-0.040629,0.044371,1
879,13.231678,0.155365,-0.040357,0.045041,1
880,13.246709,0.155432,-0.040247,0.045385,1
881,13.261786,0.154935,-0.040256,0.045644,1
882,13.276836,0.154658,-0.040346,0.046113,1
883,13.291760,0.154798,-0.040661,0.046736,1
884,13.306887,0.155386,-0.041005,0.047577,1
885,13.321941,0.156195,-0.040982,0.048574,1
886,13.336966,0.156662,-0.040221,0.049255,1
887,13.351892,0.156641,-0.038980,0.049093,1
888,13.367138,0.156465,-0.037920,0.048379,1
889,13.382077,0.156336,-0.037443,0.047907,1
890,13.397094,0.157108,-0.037384,0.047921,1
891,13.412460,0.158481,-0.037364,0.048324,1
892,13.427103,0.159322,-0.037152,0.048596,1
893,13.442207,0.159286,-0.036790,0.048112,1
894,13.457408,0.159279,-0.036338,0.047197,1
895,13.472305,0.159839,-0.035793,0.046688,1
896,13.487473,0.160184,-0.034778,0.046837,1
897,13.502472,0.159697,-0.033244,0.047289,1
898,13.517574,0.159167,-0.031753,0.047893,1
899,13.532556,0.159306,-0.030984,0.048685,1
